autor,publicacion,acreditado,
Alex Cuadros,"Cuadros-Vargas, A., Nonato, L.G., Pascucci, V., Combinatorial Laplacian image cloning. Proceedings - 24th SIBGRAPI Conference on Graphics, Patterns and Images, art. no. 6134737, pp. 236-241. 2011 ",Si,
Alex Cuadros,"Lizier, M.A.S., Martins Jr., D.C., Cuadros-Vargas, A.J., Cesar Jr., R.M., Nonato, L.G., Generating segmented meshes from textured color images. Journal of Visual Communication and Image Representation, 20 (3), pp. 190-203. 2009.",Si,
Alex Cuadros,"Cuadros-Vargas, A.J., Lizier, M., Minghim, R., Nonato, L.G., Generating segmented quality meshes from images. Journal of Mathematical Imaging and Vision, 33 (1), pp. 11-23. 2009.",Si,
Alex Cuadros,"Cuadros-Vargas, A.J., Nonato, L.G., Tejada, E., Ertl, T., Generating segmented tetrahedral meshes from regular volume data for simulation and visualization applications. Proceedings of the International Symposium CompIMAGE 2006 - Computational Modelling of Objects Represented in Images: Fundamentals, Methods and Applications, pp. 141-146. 2007.",Si, 
Alex Cuadros,"Cuadros-Vargas, A.J., Gerhardinger, L.C., De Castro, M., Neto, J.B., Nonato, L.G., Improving 2D mesh image segmentation with Markovian Random Fields. Brazilian Symposium of Computer Graphic and Image Processing, art. no. 4027052, pp. 61-68. 2006.",Si,
Alex Cuadros,"Cuadros-Vargas, A.J., Nonato, L.G., Minghim, R., Etiene, T., Imesh: An image based quality mesh generation technique. Brazilian Symposium of Computer Graphic and Image Processing, 2005, art. no. 1599122, pp. 341-348. 2005.",Si,
Alex Cuadros,"Nonato, L.G., Cuadros-Vargas, A.J., Minghim, R., De Oliveira, M.C.F., Beta-connection: Generating a family of models from planar cross sections. ACM Transactions on Graphics, 24 (4), pp. 1239-1258. 2005.",Si,
